MSOA,population,males,females,children,youth,elderly
E02000986,8399,4072,4326,408,852,2238
E02000987,7300,3518,3778,316,773,1950
E02000988,9044,4478,4558,552,1137,1905
E02000989,8349,4009,4338,331,713,3032
E02000990,8353,4132,4219,401,810,2132
E02000991,7811,3809,4002,531,774,1875
E02000992,6306,3066,3241,303,598,1828
E02000993,8430,4063,4373,661,1067,1263
E02000994,9043,4573,4480,728,1277,1352
E02000995,8347,4071,4275,479,892,2251
E02000996,8575,4135,4434,558,1049,1643
E02000997,6483,3150,3324,328,612,1794
E02000998,10434,5336,5099,937,1562,1523
E02000999,8529,4417,4112,572,1394,1538
E02001000,9180,4655,4516,560,972,2178
E02001001,8860,4391,4462,648,1090,1687
E02001002,9726,4760,4972,545,1021,2444
E02001003,7355,3621,3738,309,773,2373
E02001004,9340,4775,4561,761,1492,1315
E02001005,9843,4893,4951,864,1507,1572
E02001006,8471,4167,4306,655,1197,1207
E02001007,10063,4910,5156,410,997,3151
E02001008,9153,4466,4680,715,1400,1237
E02001009,7482,3707,3773,540,880,1558
E02001010,6526,3247,3283,509,838,1053
E02001011,9750,4838,4909,482,916,2866
E02001012,9805,4829,4975,850,1354,1571
E02001013,6104,2961,3145,303,623,1753
E02001014,8470,4192,4278,416,889,2101
E02001015,8204,4016,4187,505,847,2134
E02001016,8706,4262,4439,631,1148,1384
E02001017,10774,5229,5548,597,1203,2526
E02001018,7665,3801,3859,415,815,1784
E02001019,9039,4465,4570,407,978,2285
E02001020,5919,2817,3098,194,539,2227
E02001021,7504,3691,3814,313,695,2297
E02001022,8072,3930,4137,400,820,2312
E02001023,5698,2783,2911,287,563,1620
E02001024,8057,3900,4153,390,857,2119
E02001025,8153,3941,4212,545,916,1678
E02001026,11350,5720,5623,903,1487,1613
E02001027,7283,3591,3692,467,791,1412
E02001028,7340,3581,3758,275,660,2792
E02001029,7781,3867,3910,539,1036,1412
E02001030,6186,3004,3177,286,676,1607
E02001031,6878,3370,3509,381,757,1615
E02001032,7675,3735,3942,420,805,2059
E02001033,6181,3031,3147,446,706,1133
E02001034,8616,4290,4328,546,970,1740
E02001035,7218,3538,3685,316,741,2181
E02001036,7482,3604,3872,447,841,1563
E02001037,7215,3595,3623,347,595,2371
E02001038,5683,2786,2892,280,488,1372
E02001039,8608,4063,4536,550,1058,1534
E02001040,6404,3245,3159,369,588,1665
E02001041,7731,3757,3980,421,776,1694
E02001042,6563,3293,3262,385,604,1590
E02001043,5689,2761,2935,367,574,1293
E02001044,9572,4760,4803,866,1259,1519
E02001045,8434,3917,4521,556,1010,1753
E02001046,11208,5481,5728,797,1394,1655
E02001047,10476,5117,5355,681,1251,2020
E02001048,9449,4731,4717,765,1144,1619
E02001049,10490,5007,5483,607,1192,2285
E02001050,8427,4173,4255,718,974,1189
E02001051,9268,4442,4824,691,1169,1516
E02001052,15013,7599,7418,1335,2209,1759
E02001053,11909,5800,6110,1065,1597,1567
E02001055,9689,4679,5009,713,1118,1819
E02001056,8938,4322,4603,643,1266,1419
E02001059,11848,5917,5934,943,1569,1447
E02001061,10963,5379,5584,843,1391,1652
E02001062,10137,5166,4973,656,2328,960
E02001063,11071,5393,5683,490,4854,577
E02001064,10774,5346,5436,926,1438,1411
E02001065,9526,4669,4853,843,1126,1406
